"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|CZ","Without Sequence","82.38","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|CZ","Without Sequence","82.12","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|CZ","Without Sequence","88.98","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|CZ","Without Sequence","101.57","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|CZ","Without Sequence","116.82","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|CZ","Without Sequence","141.00","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|CZ","Without Sequence","129.16","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|CZ","Without Sequence","113.65","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|CZ","Without Sequence","106.48","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|CZ","Without Sequence","99.38","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|CZ","Without Sequence","99.00","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|CZ","Without Sequence","105.98","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|CZ","Without Sequence","117.81","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|CZ","Without Sequence","133.94","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|CZ","Without Sequence","148.44","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|CZ","Without Sequence","136.64","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|CZ","Without Sequence","132.31","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|CZ","Without Sequence","117.24","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|CZ","Without Sequence","107.19","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|CZ","Without Sequence","100.00","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|CZ","Without Sequence","96.63","",""
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|CZ","Without Sequence","90.76","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|CZ","Without Sequence","87.98","",""
